correct 	math 	2.8secs 	3 ^ 0 	What is 3 ^ 0? 	== 	1 	RunAve=runAve math: 1/1 100% 2.8secs 	Sun Jan 17 2021 14:12:17 GMT-0600 (Central Standard Time)
correct 	math 	2.4secs 	12 ^ 2 	What is 12 ^ 2? 	== 	144 	RunAve=runAve math: 11/12 91% 4.0secs 	Tue Jan 19 2021 08:47:40 GMT-0600 (Central Standard Time)
correct 	math 	2.3secs 	4 ^ 2 	What is 4 ^ 2? 	== 	16 	RunAve=runAve math: 12/13 92% 3.9secs 	Tue Jan 19 2021 08:48:00 GMT-0600 (Central Standard Time)
correct 	spelling 	1.5secs 	clap:1 	c___ 	== 	_lap 	RunAve=runAve spelling: 4/4 100% 3.5secs 	Tue Jan 19 2021 08:48:21 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	sample:1 	s_____ 	== 	_ample 	RunAve=runAve spelling: 5/5 100% 3.2secs 	Tue Jan 19 2021 08:48:42 GMT-0600 (Central Standard Time)
correct 	math 	2.1secs 	-6 ^ 1 	What is -6 ^ 1? 	== 	-6 	RunAve=runAve math: 13/14 92% 3.8secs 	Tue Jan 19 2021 08:49:00 GMT-0600 (Central Standard Time)
correct 	spelling 	1.2secs 	never:1 	n____ 	== 	_ever 	RunAve=runAve spelling: 6/6 100% 2.9secs 	Tue Jan 19 2021 08:49:21 GMT-0600 (Central Standard Time)
correct 	spelling 	2.1secs 	dune:1 	d___ 	== 	_une 	RunAve=runAve spelling: 7/7 100% 2.7secs 	Tue Jan 19 2021 08:50:02 GMT-0600 (Central Standard Time)
correct 	spelling 	1.4secs 	mitten:1 	m_____ 	== 	_itten 	RunAve=runAve spelling: 8/8 100% 2.6secs 	Tue Jan 19 2021 08:50:21 GMT-0600 (Central Standard Time)
correct 	math 	3.5secs 	6 ^ 2 	What is 6 ^ 2? 	== 	36 	RunAve=runAve math: 14/15 93% 3.7secs 	Tue Jan 19 2021 08:50:41 GMT-0600 (Central Standard Time)
correct 	spelling 	1.7secs 	store:1 	s____ 	== 	_tore 	RunAve=runAve spelling: 9/9 100% 2.5secs 	Tue Jan 19 2021 08:51:01 GMT-0600 (Central Standard Time)
correct 	spelling 	3.4secs 	sparrow:2 	sp_____ 	== 	__arrow 	RunAve=runAve spelling: 10/10 100% 2.6secs 	Tue Jan 19 2021 08:51:23 GMT-0600 (Central Standard Time)
correct 	spelling 	1.4secs 	sister:3 	sis___ 	== 	___ter 	RunAve=runAve spelling: 11/11 100% 2.5secs 	Tue Jan 19 2021 08:52:21 GMT-0600 (Central Standard Time)
correct 	math 	3.0secs 	0 ^ 2 	What is 0 ^ 2? 	== 	0 	RunAve=runAve math: 15/16 93% 3.7secs 	Tue Jan 19 2021 08:52:41 GMT-0600 (Central Standard Time)
correct 	math 	2.3secs 	10 ^ 2 	What is 10 ^ 2? 	== 	100 	RunAve=runAve math: 16/17 94% 3.6secs 	Tue Jan 19 2021 08:53:00 GMT-0600 (Central Standard Time)
wrong 	math 	1.7secs 	5 ^ 2 	What is 5 ^ 2? 	!= 	null 	RunAve=runAve math: 16/18 88% 3.5secs 	Tue Jan 19 2021 08:53:19 GMT-0600 (Central Standard Time)
correct 	math 	1.6secs 	5 * 5 	What is 5 * 5? 	== 	25 	RunAve=runAve math: 17/19 89% 3.4secs 	Tue Jan 19 2021 08:53:39 GMT-0600 (Central Standard Time)
correct 	math 	1.9secs 	5 ^ 2 	What is 5 ^ 2? 	== 	25 	RunAve=runAve math: 18/20 90% 3.3secs 	Tue Jan 19 2021 08:54:00 GMT-0600 (Central Standard Time)
correct 	math 	3.5secs 	6 ^ 2 	What is 6 ^ 2? 	== 	36 	RunAve=runAve math: 19/21 90% 3.3secs 	Tue Jan 19 2021 08:54:21 GMT-0600 (Central Standard Time)
correct 	math 	4.7secs 	6 ^ 2 	What is 6 ^ 2? 	== 	36 	RunAve=runAve math: 20/22 90% 3.4secs 	Tue Jan 19 2021 08:55:03 GMT-0600 (Central Standard Time)
correct 	math 	1.9secs 	2 ^ 1 	What is 2 ^ 1? 	== 	2 	RunAve=runAve math: 21/23 91% 3.3secs 	Tue Jan 19 2021 08:55:20 GMT-0600 (Central Standard Time)
correct 	math 	2.5secs 	3 ^ 2 	What is 3 ^ 2? 	== 	9 	RunAve=runAve math: 22/24 91% 3.3secs 	Tue Jan 19 2021 08:55:40 GMT-0600 (Central Standard Time)
correct 	math 	2.9secs 	-5 ^ 2 	What is -5 ^ 2? 	== 	25 	RunAve=runAve math: 23/25 92% 3.3secs 	Tue Jan 19 2021 08:56:01 GMT-0600 (Central Standard Time)
correct 	math 	2.6secs 	9 ^ 2 	What is 9 ^ 2? 	== 	81 	RunAve=runAve math: 24/25 96% 3.2secs 	Tue Jan 19 2021 08:56:20 GMT-0600 (Central Standard Time)
correct 	spelling 	1.5secs 	halt:1 	h___ 	== 	_alt 	RunAve=runAve spelling: 12/12 100% 2.4secs 	Tue Jan 19 2021 08:56:41 GMT-0600 (Central Standard Time)
correct 	spelling 	1.3secs 	dainty:1 	d_____ 	== 	_ainty 	RunAve=runAve spelling: 13/13 100% 2.3secs 	Tue Jan 19 2021 08:57:01 GMT-0600 (Central Standard Time)
correct 	spelling 	3.7secs 	out:1 	o__ 	== 	_ut 	RunAve=runAve spelling: 14/14 100% 2.4secs 	Tue Jan 19 2021 08:57:24 GMT-0600 (Central Standard Time)
correct 	math 	2.0secs 	9 ^ 2 	What is 9 ^ 2? 	== 	81 	RunAve=runAve math: 24/25 96% 3.2secs 	Tue Jan 19 2021 08:57:40 GMT-0600 (Central Standard Time)
correct 	math 	2.1secs 	6 ^ 2 	What is 6 ^ 2? 	== 	36 	RunAve=runAve math: 24/25 96% 3.2secs 	Tue Jan 19 2021 08:58:00 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	ring:1 	r___ 	== 	_ing 	RunAve=runAve spelling: 15/15 100% 2.4secs 	Tue Jan 19 2021 08:58:22 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	dish:1 	d___ 	== 	_ish 	RunAve=runAve spelling: 16/16 100% 2.3secs 	Tue Jan 19 2021 08:58:42 GMT-0600 (Central Standard Time)
correct 	spelling 	2.5secs 	grace:1 	g____ 	== 	_race 	RunAve=runAve spelling: 17/17 100% 2.3secs 	Tue Jan 19 2021 08:59:02 GMT-0600 (Central Standard Time)
correct 	math 	1.4secs 	6 ^ 2 	What is 6 ^ 2? 	== 	36 	RunAve=runAve math: 24/25 96% 3.1secs 	Tue Jan 19 2021 08:59:19 GMT-0600 (Central Standard Time)
correct 	math 	2.2secs 	6 ^ 2 	What is 6 ^ 2? 	== 	36 	RunAve=runAve math: 24/25 96% 3.1secs 	Tue Jan 19 2021 08:59:40 GMT-0600 (Central Standard Time)
correct 	spelling 	1.7secs 	hug:1 	h__ 	== 	_ug 	RunAve=runAve spelling: 18/18 100% 2.3secs 	Tue Jan 19 2021 09:00:02 GMT-0600 (Central Standard Time)
correct 	math 	1.8secs 	9 ^ 2 	What is 9 ^ 2? 	== 	81 	RunAve=runAve math: 24/25 96% 3.0secs 	Tue Jan 19 2021 09:00:20 GMT-0600 (Central Standard Time)
wrong 	math 	0.3secs 	-11 ^ 3 	What is -11 ^ 3? 	!= 	-1728 	RunAve=runAve math: 23/25 92% 2.5secs 	Tue Jan 19 2021 09:00:38 GMT-0600 (Central Standard Time)
correct 	math 	1.8secs 	-11 * -11 	What is -11 * -11? 	== 	121 	RunAve=runAve math: 23/25 92% 2.5secs 	Tue Jan 19 2021 09:01:00 GMT-0600 (Central Standard Time)
wrong 	math 	2.8secs 	-11 ^ 2 	What is -11 ^ 2? 	!= 	null 	RunAve=runAve math: 22/25 88% 2.3secs 	Tue Jan 19 2021 09:01:21 GMT-0600 (Central Standard Time)
correct 	math 	1.4secs 	-11 ^ 2 	What is -11 ^ 2? 	== 	121 	RunAve=runAve math: 22/25 88% 2.3secs 	Tue Jan 19 2021 09:01:39 GMT-0600 (Central Standard Time)
correct 	math 	4.9secs 	-11 ^ 3 	What is -11 ^ 3? 	== 	-1331 	RunAve=runAve math: 22/25 88% 2.4secs 	Tue Jan 19 2021 09:02:03 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	clash:2 	cl___ 	== 	__ash 	RunAve=runAve spelling: 19/19 100% 2.3secs 	Tue Jan 19 2021 09:02:42 GMT-0600 (Central Standard Time)
wrong 	math 	0.4secs 	-5 ^ 2 	What is -5 ^ 2? 	!= 	16 	RunAve=runAve math: 21/25 84% 2.3secs 	Tue Jan 19 2021 09:02:58 GMT-0600 (Central Standard Time)
correct 	math 	2.4secs 	-5 * -5 	What is -5 * -5? 	== 	25 	RunAve=runAve math: 21/25 84% 2.3secs 	Tue Jan 19 2021 09:03:41 GMT-0600 (Central Standard Time)
correct 	math 	3.3secs 	-5 ^ 2 	What is -5 ^ 2? 	== 	25 	RunAve=runAve math: 21/25 84% 2.4secs 	Tue Jan 19 2021 09:04:01 GMT-0600 (Central Standard Time)
wrong 	math 	2.9secs 	0 ^ 1 	What is 0 ^ 1? 	!= 	-1 	RunAve=runAve math: 20/25 80% 2.3secs 	Tue Jan 19 2021 09:04:21 GMT-0600 (Central Standard Time)
wrong 	math 	1.4secs 	0 * 0 	What is 0 * 0? 	!= 	4 	RunAve=runAve math: 19/25 76% 2.3secs 	Tue Jan 19 2021 09:04:40 GMT-0600 (Central Standard Time)
correct 	math 	2.8secs 	7 ^ 2 	What is 7 ^ 2? 	== 	49 	RunAve=runAve math: 1/1 100% 2.8secs 	Fri Jan 29 2021 22:53:43 GMT-0600 (Central Standard Time)
correct 	math 	2.1secs 	-45 / -5 	What is -45 / -5? 	== 	9 	RunAve=runAve math: 2/2 100% 2.5secs 	Fri Jan 29 2021 22:54:02 GMT-0600 (Central Standard Time)
correct 	math 	3.5secs 	12 / 1 	What is 12 / 1? 	== 	12 	RunAve=runAve math: 3/3 100% 2.8secs 	Fri Jan 29 2021 22:54:24 GMT-0600 (Central Standard Time)
correct 	math 	2.1secs 	1 ^ 1 	What is 1 ^ 1? 	== 	1 	RunAve=runAve math: 4/4 100% 2.6secs 	Fri Jan 29 2021 22:54:42 GMT-0600 (Central Standard Time)
correct 	math 	2.9secs 	44 / 11 	What is 44 / 11? 	== 	4 	RunAve=runAve math: 5/5 100% 2.7secs 	Fri Jan 29 2021 22:55:03 GMT-0600 (Central Standard Time)
correct 	math 	2.5secs 	12 / 3 	What is 12 / 3? 	== 	4 	RunAve=runAve math: 6/6 100% 2.7secs 	Fri Jan 29 2021 22:55:23 GMT-0600 (Central Standard Time)
wrong 	math 	1.8secs 	4 ^ 2 	What is 4 ^ 2? 	!= 	4 	RunAve=runAve math: 6/7 85% 2.5secs 	Fri Jan 29 2021 22:55:42 GMT-0600 (Central Standard Time)
correct 	math 	2.2secs 	4 * 4 	What is 4 * 4? 	== 	16 	RunAve=runAve math: 7/8 87% 2.5secs 	Fri Jan 29 2021 22:56:02 GMT-0600 (Central Standard Time)
correct 	math 	3.2secs 	4 ^ 2 	What is 4 ^ 2? 	== 	16 	RunAve=runAve math: 8/9 88% 2.6secs 	Fri Jan 29 2021 22:57:03 GMT-0600 (Central Standard Time)
correct 	math 	2.8secs 	0 ^ 3 	What is 0 ^ 3? 	== 	0 	RunAve=runAve math: 9/10 90% 2.6secs 	Fri Jan 29 2021 22:57:23 GMT-0600 (Central Standard Time)
correct 	math 	1.5secs 	36 / 6 	What is 36 / 6? 	== 	6 	RunAve=runAve math: 10/11 90% 2.5secs 	Fri Jan 29 2021 22:57:42 GMT-0600 (Central Standard Time)
correct 	math 	2.6secs 	3 ^ 1 	What is 3 ^ 1? 	== 	3 	RunAve=runAve math: 11/12 91% 2.5secs 	Fri Jan 29 2021 22:58:03 GMT-0600 (Central Standard Time)
correct 	math 	1.5secs 	11 ^ 2 	What is 11 ^ 2? 	== 	121 	RunAve=runAve math: 12/13 92% 2.4secs 	Fri Jan 29 2021 22:58:22 GMT-0600 (Central Standard Time)
correct 	math 	1.9secs 	5 ^ 2 	What is 5 ^ 2? 	== 	25 	RunAve=runAve math: 13/14 92% 2.4secs 	Fri Jan 29 2021 23:00:02 GMT-0600 (Central Standard Time)
correct 	math 	7.3secs 	132 / 11 	What is 132 / 11? 	== 	12 	RunAve=runAve math: 14/15 93% 2.7secs 	Fri Jan 29 2021 23:00:48 GMT-0600 (Central Standard Time)
correct 	math 	2.8secs 	0 / 6 	What is 0 / 6? 	== 	0 	RunAve=runAve math: 15/16 93% 2.7secs 	Fri Jan 29 2021 23:01:03 GMT-0600 (Central Standard Time)
correct 	math 	1.9secs 	7 ^ 2 	What is 7 ^ 2? 	== 	49 	RunAve=runAve math: 16/17 94% 2.7secs 	Fri Jan 29 2021 23:01:22 GMT-0600 (Central Standard Time)
wrong 	math 	2.3secs 	2 ^ 2 	What is 2 ^ 2? 	!= 	1 	RunAve=runAve math: 16/18 88% 2.7secs 	Fri Jan 29 2021 23:01:43 GMT-0600 (Central Standard Time)
correct 	math 	1.4secs 	2 * 2 	What is 2 * 2? 	== 	4 	RunAve=runAve math: 17/19 89% 2.6secs 	Fri Jan 29 2021 23:02:02 GMT-0600 (Central Standard Time)
correct 	math 	1.6secs 	2 ^ 2 	What is 2 ^ 2? 	== 	4 	RunAve=runAve math: 18/20 90% 2.5secs 	Fri Jan 29 2021 23:02:22 GMT-0600 (Central Standard Time)
correct 	math 	7.2secs 	2 ^ 3 	What is 2 ^ 3? 	== 	8 	RunAve=runAve math: 19/21 90% 2.8secs 	Fri Jan 29 2021 23:03:08 GMT-0600 (Central Standard Time)
correct 	math 	1.4secs 	10 ^ 2 	What is 10 ^ 2? 	== 	100 	RunAve=runAve math: 20/22 90% 2.7secs 	Fri Jan 29 2021 23:03:42 GMT-0600 (Central Standard Time)
correct 	math 	1.5secs 	0 / 4 	What is 0 / 4? 	== 	0 	RunAve=runAve math: 21/23 91% 2.7secs 	Fri Jan 29 2021 23:05:42 GMT-0600 (Central Standard Time)
correct 	math 	3.1secs 	16 / 8 	What is 16 / 8? 	== 	2 	RunAve=runAve math: 22/24 91% 2.7secs 	Fri Jan 29 2021 23:06:05 GMT-0600 (Central Standard Time)
correct 	math 	1.8secs 	8 ^ 2 	What is 8 ^ 2? 	== 	64 	RunAve=runAve math: 23/25 92% 2.6secs 	Fri Jan 29 2021 23:06:22 GMT-0600 (Central Standard Time)
correct 	math 	1.2secs 	12 / 1 	What is 12 / 1? 	== 	12 	RunAve=runAve math: 23/25 92% 2.6secs 	Fri Jan 29 2021 23:06:42 GMT-0600 (Central Standard Time)
correct 	math 	4.7secs 	7 ^ 2 	What is 7 ^ 2? 	== 	49 	RunAve=runAve math: 23/25 92% 2.7secs 	Fri Jan 29 2021 23:07:05 GMT-0600 (Central Standard Time)
correct 	math 	1.7secs 	77 / 11 	What is 77 / 11? 	== 	7 	RunAve=runAve math: 23/25 92% 2.6secs 	Fri Jan 29 2021 23:07:42 GMT-0600 (Central Standard Time)
correct 	math 	2.7secs 	-60 / -6 	What is -60 / -6? 	== 	10 	RunAve=runAve math: 23/25 92% 2.6secs 	Fri Jan 29 2021 23:08:03 GMT-0600 (Central Standard Time)
correct 	math 	3.3secs 	7 ^ 2 	What is 7 ^ 2? 	== 	49 	RunAve=runAve math: 23/25 92% 2.6secs 	Fri Jan 29 2021 23:08:44 GMT-0600 (Central Standard Time)
correct 	math 	2.0secs 	9 ^ 2 	What is 9 ^ 2? 	== 	81 	RunAve=runAve math: 23/25 92% 2.6secs 	Fri Jan 29 2021 23:09:03 GMT-0600 (Central Standard Time)
correct 	math 	1.5secs 	12 / 1 	What is 12 / 1? 	== 	12 	RunAve=runAve math: 24/25 96% 2.6secs 	Fri Jan 29 2021 23:09:22 GMT-0600 (Central Standard Time)
correct 	math 	2.1secs 	0 / 1 	What is 0 / 1? 	== 	0 	RunAve=runAve math: 24/25 96% 2.6secs 	Fri Jan 29 2021 23:09:43 GMT-0600 (Central Standard Time)
correct 	math 	2.1secs 	12 ^ 2 	What is 12 ^ 2? 	== 	144 	RunAve=runAve math: 24/25 96% 2.6secs 	Fri Jan 29 2021 23:10:03 GMT-0600 (Central Standard Time)
correct 	math 	3.0secs 	10 ^ 2 	What is 10 ^ 2? 	== 	100 	RunAve=runAve math: 24/25 96% 2.6secs 	Fri Jan 29 2021 23:10:24 GMT-0600 (Central Standard Time)
correct 	math 	1.8secs 	0 ^ 3 	What is 0 ^ 3? 	== 	0 	RunAve=runAve math: 24/25 96% 2.6secs 	Fri Jan 29 2021 23:10:45 GMT-0600 (Central Standard Time)
correct 	math 	1.8secs 	3 / 3 	What is 3 / 3? 	== 	1 	RunAve=runAve math: 24/25 96% 2.6secs 	Fri Jan 29 2021 23:11:03 GMT-0600 (Central Standard Time)
correct 	math 	1.2secs 	108 / 12 	What is 108 / 12? 	== 	9 	RunAve=runAve math: 24/25 96% 2.5secs 	Fri Jan 29 2021 23:11:24 GMT-0600 (Central Standard Time)
correct 	math 	2.1secs 	35 / 7 	What is 35 / 7? 	== 	5 	RunAve=runAve math: 24/25 96% 2.5secs 	Fri Jan 29 2021 23:11:43 GMT-0600 (Central Standard Time)
correct 	math 	1.4secs 	1 ^ 1 	What is 1 ^ 1? 	== 	1 	RunAve=runAve math: 24/25 96% 2.3secs 	Fri Jan 29 2021 23:12:02 GMT-0600 (Central Standard Time)
correct 	math 	4.9secs 	24 / 6 	What is 24 / 6? 	== 	4 	RunAve=runAve math: 24/25 96% 2.4secs 	Fri Jan 29 2021 23:12:26 GMT-0600 (Central Standard Time)
correct 	math 	2.0secs 	6 / 6 	What is 6 / 6? 	== 	1 	RunAve=runAve math: 24/25 96% 2.4secs 	Fri Jan 29 2021 23:12:43 GMT-0600 (Central Standard Time)
correct 	math 	3.8secs 	32 / 8 	What is 32 / 8? 	== 	4 	RunAve=runAve math: 25/25 100% 2.5secs 	Fri Jan 29 2021 23:13:05 GMT-0600 (Central Standard Time)
correct 	math 	1.4secs 	100 / 10 	What is 100 / 10? 	== 	10 	RunAve=runAve math: 25/25 100% 2.5secs 	Fri Jan 29 2021 23:14:02 GMT-0600 (Central Standard Time)
correct 	math 	2.0secs 	-35 / -7 	What is -35 / -7? 	== 	5 	RunAve=runAve math: 25/25 100% 2.5secs 	Fri Jan 29 2021 23:15:03 GMT-0600 (Central Standard Time)
correct 	math 	1.4secs 	66 / 11 	What is 66 / 11? 	== 	6 	RunAve=runAve math: 25/25 100% 2.2secs 	Fri Jan 29 2021 23:17:02 GMT-0600 (Central Standard Time)
correct 	math 	2.9secs 	56 / 8 	What is 56 / 8? 	== 	7 	RunAve=runAve math: 25/25 100% 2.3secs 	Fri Jan 29 2021 23:18:04 GMT-0600 (Central Standard Time)
correct 	math 	1.2secs 	80 / 10 	What is 80 / 10? 	== 	8 	RunAve=runAve math: 25/25 100% 2.3secs 	Fri Jan 29 2021 23:18:22 GMT-0600 (Central Standard Time)
correct 	math 	2.6secs 	72 / 12 	What is 72 / 12? 	== 	6 	RunAve=runAve math: 25/25 100% 2.3secs 	Fri Jan 29 2021 23:18:44 GMT-0600 (Central Standard Time)
correct 	math 	2.1secs 	7 ^ 2 	What is 7 ^ 2? 	== 	49 	RunAve=runAve math: 25/25 100% 2.3secs 	Fri Jan 29 2021 23:19:03 GMT-0600 (Central Standard Time)
correct 	math 	1.6secs 	5 ^ 2 	What is 5 ^ 2? 	== 	25 	RunAve=runAve math: 25/25 100% 2.3secs 	Fri Jan 29 2021 23:19:23 GMT-0600 (Central Standard Time)
correct 	math 	2.1secs 	9 ^ 2 	What is 9 ^ 2? 	== 	81 	RunAve=runAve math: 25/25 100% 2.2secs 	Fri Jan 29 2021 23:20:03 GMT-0600 (Central Standard Time)
correct 	math 	2.5secs 	3 ^ 0 	What is 3 ^ 0? 	== 	1 	RunAve=runAve math: 25/25 100% 2.2secs 	Fri Jan 29 2021 23:20:24 GMT-0600 (Central Standard Time)
correct 	math 	1.6secs 	30 / 10 	What is 30 / 10? 	== 	3 	RunAve=runAve math: 25/25 100% 2.2secs 	Fri Jan 29 2021 23:20:43 GMT-0600 (Central Standard Time)
correct 	math 	1.3secs 	0 / 5 	What is 0 / 5? 	== 	0 	RunAve=runAve math: 25/25 100% 2.1secs 	Fri Jan 29 2021 23:21:02 GMT-0600 (Central Standard Time)
correct 	math 	1.9secs 	11 ^ 2 	What is 11 ^ 2? 	== 	121 	RunAve=runAve math: 25/25 100% 2.1secs 	Fri Jan 29 2021 23:21:23 GMT-0600 (Central Standard Time)
correct 	math 	1.9secs 	8 ^ 2 	What is 8 ^ 2? 	== 	64 	RunAve=runAve math: 25/25 100% 2.1secs 	Fri Jan 29 2021 23:22:03 GMT-0600 (Central Standard Time)
correct 	math 	1.8secs 	77 / 11 	What is 77 / 11? 	== 	7 	RunAve=runAve math: 25/25 100% 2.1secs 	Fri Jan 29 2021 23:22:23 GMT-0600 (Central Standard Time)
correct 	math 	6.2secs 	-63 / 9 	What is -63 / 9? 	== 	-7 	RunAve=runAve math: 25/25 100% 2.3secs 	Fri Jan 29 2021 23:22:47 GMT-0600 (Central Standard Time)
correct 	math 	1.7secs 	7 ^ 2 	What is 7 ^ 2? 	== 	49 	RunAve=runAve math: 25/25 100% 2.2secs 	Fri Jan 29 2021 23:23:23 GMT-0600 (Central Standard Time)
correct 	math 	3.0secs 	5 ^ 2 	What is 5 ^ 2? 	== 	25 	RunAve=runAve math: 25/25 100% 2.3secs 	Fri Jan 29 2021 23:23:44 GMT-0600 (Central Standard Time)
wrong 	math 	2.1secs 	2 ^ 0 	What is 2 ^ 0? 	!= 	0 	RunAve=runAve math: 24/25 96% 2.3secs 	Fri Jan 29 2021 23:24:25 GMT-0600 (Central Standard Time)
wrong 	math 	2.5secs 	2 * 2 	What is 2 * 2? 	!= 	1 	RunAve=runAve math: 23/25 92% 2.3secs 	Fri Jan 29 2021 23:24:44 GMT-0600 (Central Standard Time)
correct 	math 	1.6secs 	2 * 2 	What is 2 * 2? 	== 	4 	RunAve=runAve math: 23/25 92% 2.3secs 	Fri Jan 29 2021 23:25:03 GMT-0600 (Central Standard Time)
correct 	math 	1.4secs 	2 ^ 2 	What is 2 ^ 2? 	== 	4 	RunAve=runAve math: 23/25 92% 2.3secs 	Fri Jan 29 2021 23:25:23 GMT-0600 (Central Standard Time)
wrong 	math 	1.5secs 	2 ^ 0 	What is 2 ^ 0? 	!= 	0 	RunAve=runAve math: 22/25 88% 2.2secs 	Fri Jan 29 2021 23:25:43 GMT-0600 (Central Standard Time)
wrong 	math 	1.6secs 	2 ^ 0 	What is 2 ^ 0? 	!= 	0 	RunAve=runAve math: 21/25 84% 2.2secs 	Fri Jan 29 2021 23:26:03 GMT-0600 (Central Standard Time)
correct 	math 	2.0secs 	2 ^ 0 	What is 2 ^ 0? 	== 	1 	RunAve=runAve math: 21/25 84% 2.1secs 	Fri Jan 29 2021 23:26:23 GMT-0600 (Central Standard Time)
correct 	math 	1.8secs 	7 ^ 2 	What is 7 ^ 2? 	== 	49 	RunAve=runAve math: 21/25 84% 2.1secs 	Fri Jan 29 2021 23:27:03 GMT-0600 (Central Standard Time)
wrong 	math 	3.5secs 	48 / 6 	What is 48 / 6? 	!= 	6 	RunAve=runAve math: 20/25 80% 2.2secs 	Fri Jan 29 2021 23:27:25 GMT-0600 (Central Standard Time)
correct 	math 	4.5secs 	6 * 8 	What is 6 * 8? 	== 	48 	RunAve=runAve math: 20/25 80% 2.3secs 	Fri Jan 29 2021 23:28:26 GMT-0600 (Central Standard Time)
correct 	math 	1.5secs 	8 * 6 	What is 8 * 6? 	== 	48 	RunAve=runAve math: 20/25 80% 2.2secs 	Fri Jan 29 2021 23:28:43 GMT-0600 (Central Standard Time)
correct 	math 	1.9secs 	48 / 6 	What is 48 / 6? 	== 	8 	RunAve=runAve math: 20/25 80% 2.3secs 	Fri Jan 29 2021 23:29:03 GMT-0600 (Central Standard Time)
wrong 	math 	2.4secs 	48 / 8 	What is 48 / 8? 	!= 	8 	RunAve=runAve math: 19/25 76% 2.2secs 	Fri Jan 29 2021 23:29:24 GMT-0600 (Central Standard Time)
wrong 	math 	1.8secs 	48 / 8 	What is 48 / 8? 	!= 	7 	RunAve=runAve math: 18/25 72% 2.2secs 	Fri Jan 29 2021 23:29:43 GMT-0600 (Central Standard Time)
wrong 	math 	2.3secs 	48 / 8 	What is 48 / 8? 	!= 	8 	RunAve=runAve math: 17/25 68% 2.3secs 	Fri Jan 29 2021 23:30:04 GMT-0600 (Central Standard Time)
correct 	math 	2.2secs 	48 / 8 	What is 48 / 8? 	== 	6 	RunAve=runAve math: 17/25 68% 2.3secs 	Fri Jan 29 2021 23:30:24 GMT-0600 (Central Standard Time)
correct 	math 	2.0secs 	0 ^ 0 	What is 0 ^ 0? 	== 	1 	RunAve=runAve math: 17/25 68% 2.2secs 	Fri Jan 29 2021 23:30:43 GMT-0600 (Central Standard Time)
correct 	math 	1.3secs 	11 ^ 2 	What is 11 ^ 2? 	== 	121 	RunAve=runAve math: 17/25 68% 2.2secs 	Fri Jan 29 2021 23:31:03 GMT-0600 (Central Standard Time)
correct 	math 	1.4secs 	-35 / -5 	What is -35 / -5? 	== 	7 	RunAve=runAve math: 17/25 68% 2.2secs 	Fri Jan 29 2021 23:31:23 GMT-0600 (Central Standard Time)
wrong 	math 	3.6secs 	-132 / -12 	What is -132 / -12? 	!= 	13 	RunAve=runAve math: 16/25 64% 2.3secs 	Fri Jan 29 2021 23:31:45 GMT-0600 (Central Standard Time)
correct 	math 	1.4secs 	-12 * 11 	What is -12 * 11? 	== 	-132 	RunAve=runAve math: 16/25 64% 2.3secs 	Fri Jan 29 2021 23:32:03 GMT-0600 (Central Standard Time)
correct 	math 	1.4secs 	11 * -12 	What is 11 * -12? 	== 	-132 	RunAve=runAve math: 16/25 64% 2.3secs 	Fri Jan 29 2021 23:32:23 GMT-0600 (Central Standard Time)
correct 	math 	3.9secs 	-132 / -12 	What is -132 / -12? 	== 	11 	RunAve=runAve math: 16/25 64% 2.2secs 	Fri Jan 29 2021 23:32:46 GMT-0600 (Central Standard Time)
correct 	math 	1.6secs 	-132 / 11 	What is -132 / 11? 	== 	-12 	RunAve=runAve math: 16/25 64% 2.2secs 	Fri Jan 29 2021 23:33:03 GMT-0600 (Central Standard Time)
correct 	math 	2.0secs 	6 ^ 2 	What is 6 ^ 2? 	== 	36 	RunAve=runAve math: 16/25 64% 2.1secs 	Fri Jan 29 2021 23:33:24 GMT-0600 (Central Standard Time)
correct 	math 	1.1secs 	9 / 1 	What is 9 / 1? 	== 	9 	RunAve=runAve math: 17/25 68% 2.1secs 	Fri Jan 29 2021 23:33:43 GMT-0600 (Central Standard Time)
correct 	math 	1.8secs 	2 ^ 1 	What is 2 ^ 1? 	== 	2 	RunAve=runAve math: 18/25 72% 2.1secs 	Fri Jan 29 2021 23:34:03 GMT-0600 (Central Standard Time)
correct 	math 	2.0secs 	35 / 7 	What is 35 / 7? 	== 	5 	RunAve=runAve math: 18/25 72% 2.1secs 	Fri Jan 29 2021 23:34:24 GMT-0600 (Central Standard Time)
correct 	math 	2.5secs 	8 / 2 	What is 8 / 2? 	== 	4 	RunAve=runAve math: 18/25 72% 2.1secs 	Fri Jan 29 2021 23:34:44 GMT-0600 (Central Standard Time)
correct 	math 	2.3secs 	36 / 6 	What is 36 / 6? 	== 	6 	RunAve=runAve math: 19/25 76% 2.2secs 	Fri Jan 29 2021 23:35:24 GMT-0600 (Central Standard Time)
correct 	math 	3.1secs 	8 ^ 2 	What is 8 ^ 2? 	== 	64 	RunAve=runAve math: 20/25 80% 2.2secs 	Fri Jan 29 2021 23:36:05 GMT-0600 (Central Standard Time)
