correct 	spelling:chat-only:5 	7.1secs 	cocoanuts:2 	co_______ 	== 	__coanuts 	RunAve=runAve spelling:chat-only:5: 1/1 100% 7.1secs 	Wed Feb 03 2021 21:46:09 GMT-0600 (Central Standard Time)
wrong 	spelling:typing-no-word:5 	9.4secs 	coed:typing-no-word 	??? 	!= 	??? 	RunAve=runAve spelling:typing-no-word:5: 0/1  0% 9.4secs 	Thu Feb 04 2021 11:46:15 GMT-0600 (Central Standard Time)
correct 	spelling:typing-no-word:5 	7.3secs 	coed:typing-no-word 	??? 	== 	coed 	RunAve=runAve spelling:typing-no-word:5: 1/2 50% 8.4secs 	Thu Feb 04 2021 11:47:12 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	1.9secs 	cobweb:1 	c_____ 	== 	_obweb 	RunAve=runAve spelling:chat-only:5: 8/10 80% 3.9secs 	Thu Feb 04 2021 11:47:25 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	3.1secs 	convent:1 	c______ 	== 	_onvent 	RunAve=runAve spelling:chat-only:5: 9/11 81% 3.8secs 	Thu Feb 04 2021 11:47:39 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	2.3secs 	coed:1 	c___ 	== 	_oed 	RunAve=runAve spelling:chat-only:5: 10/12 83% 3.7secs 	Thu Feb 04 2021 11:47:53 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	8.7secs 	coed:3decreasing 	coe_ 	== 	___d 	RunAve=runAve spelling:chat-only:5: 11/13 84% 4.1secs 	Thu Feb 04 2021 11:48:13 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	3.0secs 	coed:2decreasing 	co__ 	== 	__ed 	RunAve=runAve spelling:chat-only:5: 12/14 85% 4.0secs 	Thu Feb 04 2021 11:49:08 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	1.8secs 	coed:1decreasing 	c___ 	== 	_oed 	RunAve=runAve spelling:chat-only:5: 13/15 86% 3.9secs 	Thu Feb 04 2021 11:49:21 GMT-0600 (Central Standard Time)
correct 	spelling:typing-no-word:5 	8.6secs 	coed:typing-no-word 	??? 	== 	coed 	RunAve=runAve spelling:typing-no-word:5: 2/3 66% 8.4secs 	Thu Feb 04 2021 11:49:41 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	3.4secs 	cobweb:1 	c_____ 	== 	_obweb 	RunAve=runAve spelling:chat-only:5: 14/16 87% 3.8secs 	Thu Feb 04 2021 11:51:48 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	3.2secs 	convent:2 	co_____ 	== 	__nvent 	RunAve=runAve spelling:chat-only:5: 15/17 88% 3.8secs 	Thu Feb 04 2021 11:52:03 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	2.4secs 	coed:0next-letter 	____ 	== 	c 	RunAve=runAve spelling:next-letter:5: 5/6 83% 3.0secs 	Thu Feb 04 2021 11:52:16 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	2.1secs 	coed:3decreasing 	coe_ 	== 	___d 	RunAve=runAve spelling:chat-only:5: 16/18 88% 3.7secs 	Thu Feb 04 2021 11:52:29 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	3.0secs 	coed:2decreasing 	co__ 	== 	__ed 	RunAve=runAve spelling:chat-only:5: 17/19 89% 3.7secs 	Thu Feb 04 2021 11:52:44 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	2.8secs 	coed:1decreasing 	c___ 	== 	_oed 	RunAve=runAve spelling:chat-only:5: 18/20 90% 3.6secs 	Thu Feb 04 2021 11:52:57 GMT-0600 (Central Standard Time)
correct 	spelling:typing-no-word:5 	6.8secs 	coed:typing-no-word 	??? 	== 	coed 	RunAve=runAve spelling:typing-no-word:5: 3/4 75% 8.0secs 	Thu Feb 04 2021 11:53:15 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	2.1secs 	cobweb:1 	c_____ 	== 	_obweb 	RunAve=runAve spelling:chat-only:5: 19/21 90% 3.6secs 	Thu Feb 04 2021 11:53:29 GMT-0600 (Central Standard Time)
wrong 	spelling:chat-only:5 	8.8secs 	convent:1 	c______ 	!= 	_onvet 	RunAve=runAve spelling:chat-only:5: 19/22 86% 3.8secs 	Thu Feb 04 2021 11:53:48 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	2.5secs 	convent:1 	c______ 	== 	_onvent 	RunAve=runAve spelling:chat-only:5: 20/23 86% 3.7secs 	Thu Feb 04 2021 11:53:57 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	1.7secs 	convent:6decreasing 	conven_ 	== 	______t 	RunAve=runAve spelling:chat-only:5: 21/24 87% 3.6secs 	Thu Feb 04 2021 11:54:10 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	1.6secs 	convent:5decreasing 	conve__ 	== 	_____nt 	RunAve=runAve spelling:chat-only:5: 22/25 88% 3.6secs 	Thu Feb 04 2021 11:54:23 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	4.6secs 	convent:4decreasing 	conv___ 	== 	____ent 	RunAve=runAve spelling:chat-only:5: 22/25 88% 3.5secs 	Thu Feb 04 2021 11:55:28 GMT-0600 (Central Standard Time)
